Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Ссылка на изображение,Ссылка,Дата и время,Текущая цена,Средняя цена,Историческая мин. цена,Исторический мин. магазин,Исторический мин. дата,Разница цены от средней
5,смартфоны,xiaomi,redmi note 8 pro,blue,6,64,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-blue,10-12-2020 13:31:51,14990,17849,14990,5,2020-12-10 13:31:51.248891,2859
5,смартфоны,xiaomi,redmi note 8 pro,orange,6,64,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-orange,10-12-2020 13:31:51,14990,17849,14990,5,2020-12-10 13:31:51.248891,2859
5,смартфоны,xiaomi,redmi note 8 pro,grey,6,64,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-black,10-12-2020 13:31:51,14990,17849,14990,5,2020-12-10 13:31:51.248891,2859
5,смартфоны,xiaomi,redmi note 8 pro,green,6,64,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-green,10-12-2020 13:31:51,14990,17849,14990,5,2020-12-10 13:31:51.248891,2859
