Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Цена,Ссылка на изображение,Ссылка,Рейтинг,Кол-во отзывов,Код продукта
dns,смартфоны,apple,iphone 11 pro,золотистый,4,64,80499,https://c.dns-shop.ru/thumb/st1/fit/200/200/a4eeb062f092402978ad15325347116b/b1da22cd532e8e7f11d3d771a1a75b1b0fa473a3af7e9b8f2a8b3142150b858f.jpg,https://www.dns-shop.ru/product/de01a82ed4381b80/58-smartfon-apple-iphone-11-pro-64-gb-zolotistyj/,4.5,207,1394834
dns,смартфоны,apple,iphone 11 pro,серебристый,4,64,80499,https://c.dns-shop.ru/thumb/st1/fit/200/200/c8074c72d08fe4cb538d5bfdaf944010/e00a54e42c751b6fb85406cf2b195e4144b67dba482b2f457b44b654b9f519f3.jpg,https://www.dns-shop.ru/product/de01a82dd4381b80/58-smartfon-apple-iphone-11-pro-64-gb-serebristyj/,4.5,207,1394833
dns,смартфоны,apple,iphone 11 pro,серый,4,64,80499,https://c.dns-shop.ru/thumb/st1/fit/200/200/c018912d74506197d8e862e91b6cc0c2/fbbf85ca9eb207ceaef8e3013c8356886d96ae84d5594db294104d625ca37e8d.jpg,https://www.dns-shop.ru/product/de01a82cd4381b80/58-smartfon-apple-iphone-11-pro-64-gb-seryj/,4.5,207,1394832
мтс,смартфоны,apple,iphone 11 pro,тёмно-зелёный,0,64,79890,https://mtscdn.ru/upload/iblock/25e/smartfon_apple_iphone_11_pro_64gb_tjemno_zeljenyj_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-apple-iphone-11-pro-64gb-tjemno-zeljenyj,4.6,4,none
мвидео,смартфоны,apple,iphone 11 pro,midnight green,0,64,79990,https://img.mvideo.ru/pdb/small_pic/480/30045438b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-11-pro-64gb-midnight-green-mwc62ru-a-30045438,4.6,22,30045438
мвидео,смартфоны,apple,iphone 11 pro,space grey,0,64,79990,https://img.mvideo.ru/pdb/small_pic/480/30045435b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-11-pro-64gb-space-grey-mwc22ru-a-30045435,4.6,20,30045435
мвидео,смартфоны,apple,iphone 11 pro,gold,0,64,79990,https://img.mvideo.ru/pdb/small_pic/480/30045437b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-11-pro-64gb-gold-mwc52ru-a-30045437,4.4,16,30045437

dns,смартфоны,samsung,galaxy note20 ultra,белый,8,256,76999,https://c.dns-shop.ru/thumb/st4/fit/200/200/03fbdbd83838fd1e6774a7efeee109a9/a05ad1ff1f69afcfc2b83579e8775712ae86aa15d428d0285637bd7a859bcbfd.jpg,https://www.dns-shop.ru/product/0650e776c5ac1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-belyj/,4.5,60,1685908
dns,смартфоны,samsung,galaxy note20 ultra,коричневый,8,256,76999,https://c.dns-shop.ru/thumb/st1/fit/200/200/67a97204195db28d79f7e56afc78fb4f/26652cdd159c6fd92a2722c4c3b86fc9d43389ec6e33ac266b54e205768fbb82.jpg,https://www.dns-shop.ru/product/dc406039c5ab1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-koricnevyj/,4.5,60,1685904
dns,смартфоны,samsung,galaxy note20 ultra,черный,8,256,76999,https://c.dns-shop.ru/thumb/st1/fit/200/200/12270479ffb4a02cc782b9aa5b3973a7/9ec39caba6b65bdedf8733d4f05bea9230fb4507d49f6c1b14d9056569420912.jpg,https://www.dns-shop.ru/product/30f1d58dc5ac1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-cernyj/,4.5,60,1685910
мтс,смартфоны,samsung,galaxy note 20 ultra,black,8,256,79990,https://mtscdn.ru/upload/iblock/3ab/20ultrablack2.png/resize/260x260/,https://www.shop.mts.ru/product/smartfon-samsung-n985-galaxy-note-20-ultra-8-256-gb-black,0,0,none
мтс,смартфоны,samsung,galaxy note 20 ultra,bronze,8,256,79990,https://mtscdn.ru/upload/iblock/a60/20ultrabronze2.png/resize/260x260/,https://www.shop.mts.ru/product/smartfon-samsung-n985-galaxy-note-20-ultra-8-256-gb-bronze,0,0,none
мтс,смартфоны,samsung,galaxy note 20 ultra,white,8,256,79990,https://mtscdn.ru/upload/iblock/4a3/20ultrawhite2.png/resize/260x260/,https://www.shop.mts.ru/product/smartfon-samsung-n985-galaxy-note-20-ultra-8-256-gb-white,0,0,none
мвидео,смартфоны,samsung,galaxy note20 ultra,bronze,8,256,96490,https://img.mvideo.ru/pdb/small_pic/480/30051371b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-note-20-ultra-256gb-bronze-sm-n985f-ds-30051371,4.8,22,30051371
мвидео,смартфоны,samsung,galaxy note20 ultra,black,8,256,96490,https://img.mvideo.ru/pdb/small_pic/480/30051370b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-note-20-ultra-256gb-black-sm-n985f-ds-30051370,4.9,14,30051370

