Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Ссылка на изображение,Ссылка,Дата и время,Текущая цена,Средняя цена,Историческая мин. цена,Исторический мин. магазин,Исторический мин. дата,Разница цены от средней
3,смартфоны,xiaomi,redmi note 8 pro,серый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.dns-shop.ru/product/2b45326ad3943332/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-seryj/,05-12-2020 21:58:00,16999,17995,16999,3,2020-12-05 21:57:59.702585,996
3,смартфоны,xiaomi,redmi note 8 pro,синий,6,128,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.dns-shop.ru/product/9ad91632dffb1b80/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-sinij/,05-12-2020 21:58:00,16999,17995,16999,3,2020-12-05 21:57:59.702585,996
5,смартфоны,apple,iphone 7,black,0,32,https://img.mvideo.ru/pdb/small_pic/480/30026135b.jpg,https://www.shop.mts.ru/product/smartfon-apple-iphone-7-32gb-black-mn8x2ru-a,05-12-2020 21:58:00,24990,26744,24990,5,2020-12-05 21:56:56.765286,1754
1,смартфоны,huawei,p30 pro,aurora,8,256,https://img.mvideo.ru/pdb/small_pic/480/30043038b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p30-pro-aurora-vog-l29-30043038,05-12-2020 21:58:00,44490,48423,44490,1,2020-12-05 21:57:59.182371,3933
1,смартфоны,huawei,p30 pro,breathing crystal,8,256,https://img.mvideo.ru/pdb/small_pic/480/30043038b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p30-pro-breathing-crystal-vog-l29-30043039,05-12-2020 21:58:00,44490,48423,44490,1,2020-12-05 21:57:59.182371,3933
3,смартфоны,samsung,galaxy s20 fe,розовый,8,256,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/d18e4e9909f73332/65-smartfon-samsung-galaxy-s20-fe-256-gb-rozovyj/,05-12-2020 21:58:00,48699,52344,48699,3,2020-12-05 21:57:59.837395,3645
3,смартфоны,samsung,galaxy s20 fe,синий,8,256,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/e3f2096a09f63332/65-smartfon-samsung-galaxy-s20-fe-256-gb-sinij/,05-12-2020 21:58:00,48699,52344,48699,3,2020-12-05 21:57:59.837395,3645
3,смартфоны,huawei,p40 pro,серебристый,8,256,https://img.mvideo.ru/pdb/small_pic/480/30048587b.jpg,https://www.dns-shop.ru/product/d716dc1d67773332/658-smartfon-huawei-p40-pro-256-gb-serebristyj/,05-12-2020 21:58:00,56999,60994,56499,3,2020-12-05 21:56:57.412226,3995
3,смартфоны,huawei,p40 pro,синий,8,256,https://img.mvideo.ru/pdb/small_pic/480/30048587b.jpg,https://www.dns-shop.ru/product/4e87cdc170333332/658-smartfon-huawei-p40-pro-256-gb-sinij/,05-12-2020 21:58:00,56999,60994,56499,3,2020-12-05 21:56:57.412226,3995
3,смартфоны,huawei,p40 pro,черный,8,256,https://img.mvideo.ru/pdb/small_pic/480/30048587b.jpg,https://www.dns-shop.ru/product/ecbf69a067773332/658-smartfon-huawei-p40-pro-256-gb-cernyj/,05-12-2020 21:58:00,56999,60994,56499,3,2020-12-05 21:56:57.412226,3995
5,смартфоны,honor,30 premium,midnight black,8,256,https://img.mvideo.ru/pdb/small_pic/480/30049877b.jpg,https://www.shop.mts.ru/product/smartfon-honor-30-premium-8-256gb-midnight-black,05-12-2020 21:58:00,30990,34993,30990,5,2020-12-05 21:57:59.298490,4003
5,смартфоны,honor,30,emerald green,8,128,https://img.mvideo.ru/pdb/small_pic/480/30049875b.jpg,https://www.shop.mts.ru/product/smartfon-honor-30-8-128gb-emerald-green,05-12-2020 21:58:00,27990,31193,27990,5,2020-12-05 21:57:59.303238,3203
5,смартфоны,apple,iphone se,red,0,256,https://img.mvideo.ru/pdb/small_pic/480/30049495b.jpg,https://www.shop.mts.ru/product/smartfon-apple-iphone-se-2020-256gb-red,05-12-2020 21:58:00,47490,51919,47490,5,2020-12-05 21:57:59.317826,4429
5,смартфоны,apple,iphone 8,gold,0,64,https://img.mvideo.ru/pdb/small_pic/480/30045459b.jpg,https://www.shop.mts.ru/product/smartfon-iphone-8-64-gb-gold,05-12-2020 21:58:00,32990,35294,32990,5,2020-12-05 21:57:59.402936,2304
5,смартфоны,honor,20 lite,pearl white,4,128,https://img.mvideo.ru/pdb/small_pic/480/30048070b.jpg,https://www.shop.mts.ru/product/smartfon-honor-20-lite-4-128gb-pearl-white,05-12-2020 21:58:00,14990,16343,14990,5,2020-12-05 21:57:59.418992,1353
3,смартфоны,xiaomi,redmi note 8t,серый,4,64,https://img.mvideo.ru/pdb/small_pic/480/30046728b.jpg,https://www.dns-shop.ru/product/fe495ac6fad11b80/63-smartfon-xiaomi-redmi-note-8t-64-gb-seryj/,05-12-2020 21:58:00,13999,15595,13990,5,2020-12-05 21:56:56.926435,1596
3,смартфоны,huawei,p40 lite e,голубой,4,64,https://img.mvideo.ru/pdb/small_pic/480/30048483b.jpg,https://www.dns-shop.ru/product/1195a016ab873332/639-smartfon-huawei-p40-lite-e-64-gb-goluboj/,05-12-2020 21:58:00,11399,12538,11349,3,2020-12-05 21:56:57.132438,1139
3,смартфоны,huawei,p40 lite e,черный,4,64,https://img.mvideo.ru/pdb/small_pic/480/30048483b.jpg,https://www.dns-shop.ru/product/f3de901aab863332/639-smartfon-huawei-p40-lite-e-64-gb-cernyj/,05-12-2020 21:58:00,11399,12538,11349,3,2020-12-05 21:56:57.132438,1139
3,смартфоны,samsung,galaxy m21,зеленый,4,64,https://img.mvideo.ru/pdb/small_pic/480/30049746b.jpg,https://www.dns-shop.ru/product/7b39dc697b2a3332/64-smartfon-samsung-galaxy-m21-64-gb-zelenyj/,05-12-2020 21:58:00,13899,14944,13899,3,2020-12-05 21:57:59.641463,1045
3,смартфоны,samsung,galaxy m21,синий,4,64,https://img.mvideo.ru/pdb/small_pic/480/30049746b.jpg,https://www.dns-shop.ru/product/8ba141317b2a3332/64-smartfon-samsung-galaxy-m21-64-gb-sinij/,05-12-2020 21:58:00,13899,14944,13899,3,2020-12-05 21:57:59.641463,1045
3,смартфоны,samsung,galaxy m21,черный,4,64,https://img.mvideo.ru/pdb/small_pic/480/30049746b.jpg,https://www.dns-shop.ru/product/5fbc44bb7b2a3332/64-smartfon-samsung-galaxy-m21-64-gb-cernyj/,05-12-2020 21:58:00,13899,14944,13899,3,2020-12-05 21:57:59.641463,1045
3,смартфоны,samsung,galaxy a21s,красный,4,64,https://img.mvideo.ru/pdb/small_pic/480/30050049b.jpg,https://www.dns-shop.ru/product/41560f5d98fc3332/65-smartfon-samsung-galaxy-a21s-64-gb-krasnyj/,05-12-2020 21:58:00,14199,15222,14199,3,2020-12-05 21:57:59.650620,1023
3,смартфоны,samsung,galaxy a21s,синий,4,64,https://img.mvideo.ru/pdb/small_pic/480/30050049b.jpg,https://www.dns-shop.ru/product/52eac67498fc3332/65-smartfon-samsung-galaxy-a21s-64-gb-sinij/,05-12-2020 21:58:00,14199,15222,14199,3,2020-12-05 21:57:59.650620,1023
3,смартфоны,samsung,galaxy a21s,черный,4,64,https://img.mvideo.ru/pdb/small_pic/480/30050049b.jpg,https://www.dns-shop.ru/product/31c45d4a98fc3332/65-smartfon-samsung-galaxy-a21s-64-gb-cernyj/,05-12-2020 21:58:00,14199,15222,14199,3,2020-12-05 21:57:59.650620,1023
3,смартфоны,samsung,galaxy m31,красный,6,128,https://img.mvideo.ru/pdb/small_pic/480/30049941b.jpg,https://www.dns-shop.ru/product/1a040a1c98fb3332/64-smartfon-samsung-galaxy-m31-128-gb-krasnyj/,05-12-2020 21:58:00,17399,18694,17399,3,2020-12-05 21:57:59.712324,1295
3,смартфоны,samsung,galaxy m31,синий,6,128,https://img.mvideo.ru/pdb/small_pic/480/30049941b.jpg,https://www.dns-shop.ru/product/f6d2814998fa3332/64-smartfon-samsung-galaxy-m31-128-gb-sinij/,05-12-2020 21:58:00,17399,18694,17399,3,2020-12-05 21:57:59.712324,1295
