Message_ID,Category,Brand,Model,RAM,ROM,Cur_Price,Avg_Price,Img_URL,Where_Buy_List,Hist_Min_Price,Hist_Min_Shop,Hist_Min_Date,Post_Datetime,Text_Hash,Actual
624,смартфоны,samsung,galaxy note10 lite,6,128,34990,39543.0,https://img.mvideo.ru/pdb/small_pic/480/30047952b.jpg,"[(1, 'aura', 'https://www.mvideo.ru/products/smartfon-samsung-galaxy-note10-lite-aura-sm-n770f-dsm-30047952'), (5, 'red', 'https://www.shop.mts.ru/product/smartfon-samsung-n770-galaxy-note-10-lite-6-128gb-red'), (5, 'aura', 'https://www.shop.mts.ru/product/smartfon-samsung-n770-galaxy-note-10-lite-6-128gb-aura'), (5, 'black', 'https://www.shop.mts.ru/product/smartfon-samsung-n770-galaxy-note-10-lite-6-128gb-black')]",34990,1,2021-01-23 19:36:48.729906,2021-01-23 19:37:15.426363,6b4ab23639bd5af9f5b8ee79d88ff0f600dadc980184176ec85e96331f280055,False
625,смартфоны,samsung,galaxy s20,8,128,52899,61404.0,https://mtscdn.ru/upload/iblock/299/smartfon_samsung_g980_galaxy_s20_5g_8_128gb_blue.jpg,"[(3, 'голубой', 'https://www.dns-shop.ru/product/971b16bc42481b80/62-smartfon-samsung-galaxy-s20-128-gb-goluboj/'), (3, 'красный', 'https://www.dns-shop.ru/product/b56c411542481b80/62-smartfon-samsung-galaxy-s20-128-gb-krasnyj/'), (3, 'серый', 'https://www.dns-shop.ru/product/a41f955a42481b80/62-smartfon-samsung-galaxy-s20-128-gb-seryj/')]",49990,1,2020-12-23 02:50:47.577372,2021-01-23 19:37:16.545677,1e01986a0c312aa01223e20995d135ed6d0e3ea8b108633c75268c132f2ec628,True
626,смартфоны,honor,20e,4,64,10990,12459.0,https://img.mvideo.ru/pdb/small_pic/480/30052792b.jpg,"[(5, 'black', 'https://www.shop.mts.ru/product/smartfon-honor-20e-4-64gb-black'), (5, 'blue', 'https://www.shop.mts.ru/product/smartfon-honor-20e-4-64gb-blue')]",10990,5,2020-12-18 19:02:31.093385,2021-01-23 19:37:16.877979,9b74c960edd179254f549cd949a4d02e09eaed7a634dc5c29ba2ce46ae02642c,False
627,смартфоны,realme,6 pro,8,128,19990,22293.0,https://img.mvideo.ru/pdb/small_pic/480/30048623b.jpg,"[(5, 'red', 'https://www.shop.mts.ru/product/smartfon-realme-6-pro-8-128gb-red'), (5, 'blue', 'https://www.shop.mts.ru/product/smartfon-realme-6-pro-8-128gb-blue')]",19990,5,2020-12-26 18:39:23.832554,2021-01-23 19:37:17.215889,d7d61b16dc9f8d2e85e7c1704aa8ff6ad8a0cfce9095d38ea2361fda56e1ea10,False
628,смартфоны,honor,20 lite,4,128,13990,16096.0,https://img.mvideo.ru/pdb/small_pic/480/30048072b.jpg,"[(5, 'peacock blue', 'https://www.shop.mts.ru/product/smartfon-honor-20-lite-4-128gb-peacock-blue'), (5, 'midnight black', 'https://www.shop.mts.ru/product/smartfon-honor-20-lite-4-128gb-midnight-black')]",13990,5,2020-12-18 18:02:56.525959,2021-01-23 19:37:20.554024,52cf00e5d0af01eab127400cbd075b24b1277db1cb2dfb192c5b18f9983dbd98,False
629,смартфоны,samsung,galaxy m51,6,128,26749,29869.0,https://img.mvideo.ru/pdb/small_pic/480/30052840b.jpg,"[(3, 'белый', 'https://www.dns-shop.ru/product/7e691cf8ee5e1b80/667-smartfon-samsung-galaxy-m51-128-gb-belyj/'), (3, 'черный', 'https://www.dns-shop.ru/product/a4cef716ee501b80/667-smartfon-samsung-galaxy-m51-128-gb-cernyj/')]",26699,3,2020-12-25 03:20:58.800694,2021-01-23 19:37:21.107528,9292d8b58914e1ac6b79cfc56013e1f32994b10f06cfb7fd797b9a69da2911f2,False
630,смартфоны,samsung,galaxy note20,8,256,55149,65315.0,https://img.mvideo.ru/pdb/small_pic/480/30051367b.jpg,"[(3, 'розовый', 'https://www.dns-shop.ru/product/c34dd013c5a91b80/67-smartfon-samsung-galaxy-note-20-256-gb-rozovyj/'), (3, 'серый', 'https://www.dns-shop.ru/product/0cb3dd89c5aa1b80/67-smartfon-samsung-galaxy-note-20-256-gb-seryj/')]",55149,3,2021-01-25 00:31:28.746785,2021-01-25 00:31:33.645976,ccb8844b843a71bc13732f7d7828fc8f08bc124a2a26b0e3fcafda9be6f0005d,False
631,смартфоны,samsung,galaxy note20 ultra,8,256,75149,86320.0,https://img.mvideo.ru/pdb/small_pic/480/30051371b.jpg,"[(3, 'белый', 'https://www.dns-shop.ru/product/0650e776c5ac1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-belyj/'), (3, 'коричневый', 'https://www.dns-shop.ru/product/dc406039c5ab1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-koricnevyj/'), (3, 'черный', 'https://www.dns-shop.ru/product/30f1d58dc5ac1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-cernyj/')]",75149,3,2021-01-25 00:31:28.790047,2021-01-25 00:31:34.167080,7abeb70187164f07c1f661974aee748d3e57364f71d1bd9cab594e42cefae473,False
632,смартфоны,samsung,galaxy note20 ultra,12,512,95149,106709.0,https://img.mvideo.ru/pdb/small_pic/480/30051371b.jpg,"[(3, 'коричневый', 'https://www.dns-shop.ru/product/c29f43d6d6273332/69-smartfon-samsung-galaxy-note-20-ultra-512-gb-koricnevyj/'), (3, 'черный', 'https://www.dns-shop.ru/product/d9da49bdd6273332/69-smartfon-samsung-galaxy-note-20-ultra-512-gb-cernyj/')]",95149,3,2021-01-25 00:31:28.822746,2021-01-25 00:31:34.595761,398533272ca2a141ae47fd3ebd1abb9564ac9347e0bd444d0005e8b640d26f03,False
633,смартфоны,samsung,galaxy s10,8,128,38499,45897.0,https://img.mvideo.ru/pdb/small_pic/480/30042519b.jpg,"[(3, 'красный', 'https://www.dns-shop.ru/product/19f11df67aac3332/61-smartfon-samsung-galaxy-s10-128-gb-krasnyj/')]",28649,3,2020-12-20 14:22:15.367055,2021-01-27 19:07:55.250931,eea83fca43769529dcd0398ca8ac66e91b53d5c6cf11f2486a7d48a026b9eef2,False
634,смартфоны,samsung,galaxy s10,8,128,33499,42897.0,https://img.mvideo.ru/pdb/small_pic/480/30042519b.jpg,"[(3, 'красный', 'https://www.dns-shop.ru/product/19f11df67aac3332/61-smartfon-samsung-galaxy-s10-128-gb-krasnyj/')]",28649,3,2020-12-20 14:22:15.367055,2021-01-27 19:08:16.101427,8a99c65daf20e68bd7c1ea92fd30e89b0ebac2247b7e4585229d042d98c78296,False
635,смартфоны,nokia,5.3,4,64,10990,13208.0,https://img.mvideo.ru/pdb/small_pic/480/30050275b.jpg,"[(5, 'black', 'https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-black'), (5, 'turquoise', 'https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-turquoise')]",9490,5,2021-01-21 19:09:16.283349,2021-01-27 19:08:59.345629,9aa7d610489a9fe12aa4fb5e44317b4708136fde2a70a36ad4c8bb6fd85d8635,False
636,смартфоны,samsung,galaxy note20 ultra,8,256,76999,88770.0,https://img.mvideo.ru/pdb/small_pic/480/30051371b.jpg,"[(3, 'белый', 'https://www.dns-shop.ru/product/0650e776c5ac1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-belyj/'), (3, 'коричневый', 'https://www.dns-shop.ru/product/dc406039c5ab1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-koricnevyj/'), (3, 'черный', 'https://www.dns-shop.ru/product/30f1d58dc5ac1b80/69-smartfon-samsung-galaxy-note-20-ultra-256-gb-cernyj/')]",75149,3,2021-01-25 00:31:28.790047,2021-01-27 19:08:59.586043,7f33432a6b4162cc7513f9e0c80c1064ee4c4589d6b3899f7c8fbb900fdd51de,True
